Participant_Identifier	Embryo_Number	Granular_Annotation_CURIE	General_Annotation_CURIE
3	3	normal	normal
3	25	normal	normal
3	9	ZP:0000043	ZP:0000943
3	16	ZP:0000043	ZP:0000943
3	6	ZP:0000054	ZP:0001609
3	9	ZP:0000054	ZP:0001609
3	16	ZP:0000054	ZP:0001609
3	6	ZP:0000100	ZP:0000100
3	9	ZP:0000100	ZP:0000100
3	16	ZP:0000100	ZP:0000100
3	1	ZP:0000102	ZP:0002676
3	2	ZP:0000102	ZP:0002676
3	4	ZP:0000102	ZP:0002676
3	6	ZP:0000102	ZP:0002676
3	17	ZP:0000102	ZP:0002676
3	21	ZP:0000102	ZP:0002676
3	26	ZP:0000102	ZP:0002676
3	6	ZP:0000398	ZP:0000398
3	9	ZP:0000473	ZP:0012799
3	19	ZP:0000473	ZP:0012799
3	23	ZP:0000473	ZP:0012799
3	13	ZP:0000624	ZP:0000624
3	18	ZP:0000624	ZP:0000624
3	6	ZP:0000916	ZP:0007203
3	9	ZP:0000916	ZP:0007203
3	14	ZP:0000916	ZP:0007203
3	19	ZP:0000916	ZP:0007203
3	9	ZP:0001129	ZP:0001129
3	1	ZP:0001192	ZP:0000107
3	2	ZP:0001192	ZP:0000107
3	5	ZP:0001192	ZP:0000107
3	6	ZP:0001192	ZP:0000107
3	9	ZP:0001192	ZP:0000107
3	14	ZP:0001192	ZP:0000107
3	16	ZP:0001192	ZP:0000107
3	19	ZP:0001192	ZP:0000107
3	20	ZP:0001192	ZP:0000107
3	23	ZP:0001192	ZP:0000107
3	1	ZP:0001211	ZP:0127709
3	2	ZP:0001211	ZP:0127709
3	4	ZP:0001211	ZP:0127709
3	6	ZP:0001211	ZP:0127709
3	9	ZP:0001211	ZP:0127709
3	10	ZP:0001211	ZP:0127709
3	12	ZP:0001211	ZP:0127709
3	15	ZP:0001211	ZP:0127709
3	16	ZP:0001211	ZP:0127709
3	17	ZP:0001211	ZP:0127709
3	23	ZP:0001211	ZP:0127709
3	24	ZP:0001609	ZP:0001609
3	5	ZP:0002060	ZP:0002676
3	9	ZP:0002060	ZP:0002676
3	14	ZP:0002060	ZP:0002676
3	16	ZP:0002060	ZP:0002676
3	20	ZP:0002676	ZP:0002676
3	2	ZP:0003437	ZP:0003437
3	6	ZP:0004969	ZP:0001129
3	4	ZP:0005012	ZP:0127724
3	15	ZP:0005012	ZP:0127724
3	11	ZP:0005125	ZP:0127709
3	24	ZP:0005125	ZP:0127709
3	1	ZP:0014550	ZP:0014550
3	2	ZP:0014550	ZP:0014550
3	4	ZP:0014550	ZP:0014550
3	5	ZP:0014550	ZP:0014550
3	6	ZP:0014550	ZP:0014550
3	9	ZP:0014550	ZP:0014550
3	10	ZP:0014550	ZP:0014550
3	13	ZP:0014550	ZP:0014550
3	15	ZP:0014550	ZP:0014550
3	16	ZP:0014550	ZP:0014550
3	17	ZP:0014550	ZP:0014550
3	18	ZP:0014550	ZP:0014550
3	19	ZP:0014550	ZP:0014550
3	21	ZP:0014550	ZP:0014550
3	24	ZP:0014550	ZP:0014550
3	26	ZP:0014550	ZP:0014550
3	15	ZP:0015011	ZP:0007203
3	6	ZP:0016092	ZP:0002676
3	15	ZP:0016092	ZP:0002676
3	24	ZP:0127724	ZP:0127724
1	3	normal	normal
1	25	normal	normal
1	1	Not Available	Not Available
1	2	Not Available	Not Available
1	4	Not Available	Not Available
1	5	Not Available	Not Available
1	6	Not Available	Not Available
1	9	Not Available	Not Available
1	13	Not Available	Not Available
1	14	Not Available	Not Available
1	15	Not Available	Not Available
1	16	Not Available	Not Available
1	18	Not Available	Not Available
1	19	Not Available	Not Available
1	20	Not Available	Not Available
1	21	Not Available	Not Available
1	23	Not Available	Not Available
1	24	Not Available	Not Available
1	1	ZP:0000398	ZP:0000398
1	2	ZP:0000398	ZP:0000398
1	6	ZP:0000398	ZP:0000398
1	26	ZP:0000398	ZP:0000398
1	13	ZP:0000624	ZP:0000624
1	18	ZP:0000624	ZP:0000624
1	4	ZP:0000943	ZP:0000943
1	5	ZP:0000943	ZP:0000943
1	6	ZP:0000943	ZP:0000943
1	9	ZP:0000943	ZP:0000943
1	14	ZP:0000943	ZP:0000943
1	16	ZP:0000943	ZP:0000943
1	22	ZP:0000943	ZP:0000943
1	23	ZP:0000943	ZP:0000943
1	22	ZP:0001601	ZP:0001601
1	1	ZP:0001609	ZP:0001609
1	2	ZP:0001609	ZP:0001609
1	4	ZP:0001609	ZP:0001609
1	5	ZP:0001609	ZP:0001609
1	6	ZP:0001609	ZP:0001609
1	9	ZP:0001609	ZP:0001609
1	13	ZP:0001609	ZP:0001609
1	14	ZP:0001609	ZP:0001609
1	15	ZP:0001609	ZP:0001609
1	16	ZP:0001609	ZP:0001609
1	18	ZP:0001609	ZP:0001609
1	19	ZP:0001609	ZP:0001609
1	20	ZP:0001609	ZP:0001609
1	21	ZP:0001609	ZP:0001609
1	22	ZP:0001609	ZP:0001609
1	23	ZP:0001609	ZP:0001609
1	24	ZP:0001609	ZP:0001609
1	1	ZP:0002676	ZP:0002676
1	2	ZP:0002676	ZP:0002676
1	4	ZP:0002676	ZP:0002676
1	5	ZP:0002676	ZP:0002676
1	6	ZP:0002676	ZP:0002676
1	9	ZP:0002676	ZP:0002676
1	13	ZP:0002676	ZP:0002676
1	14	ZP:0002676	ZP:0002676
1	15	ZP:0002676	ZP:0002676
1	16	ZP:0002676	ZP:0002676
1	18	ZP:0002676	ZP:0002676
1	19	ZP:0002676	ZP:0002676
1	20	ZP:0002676	ZP:0002676
1	22	ZP:0002676	ZP:0002676
1	23	ZP:0002676	ZP:0002676
1	2	ZP:0007203	ZP:0007203
1	4	ZP:0007203	ZP:0007203
1	6	ZP:0007203	ZP:0007203
1	9	ZP:0007203	ZP:0007203
1	10	ZP:0007203	ZP:0007203
1	13	ZP:0007203	ZP:0007203
1	14	ZP:0007203	ZP:0007203
1	15	ZP:0007203	ZP:0007203
1	16	ZP:0007203	ZP:0007203
1	17	ZP:0007203	ZP:0007203
1	18	ZP:0007203	ZP:0007203
1	19	ZP:0007203	ZP:0007203
1	22	ZP:0007203	ZP:0007203
1	23	ZP:0007203	ZP:0007203
1	24	ZP:0007203	ZP:0007203
1	1	ZP:0012799	ZP:0012799
1	2	ZP:0012799	ZP:0012799
1	4	ZP:0012799	ZP:0012799
1	5	ZP:0012799	ZP:0012799
1	6	ZP:0012799	ZP:0012799
1	9	ZP:0012799	ZP:0012799
1	10	ZP:0012799	ZP:0012799
1	11	ZP:0012799	ZP:0012799
1	14	ZP:0012799	ZP:0012799
1	16	ZP:0012799	ZP:0012799
1	18	ZP:0012799	ZP:0012799
1	19	ZP:0012799	ZP:0012799
1	20	ZP:0012799	ZP:0012799
1	23	ZP:0012799	ZP:0012799
1	24	ZP:0012799	ZP:0012799
1	26	ZP:0012799	ZP:0012799
1	1	ZP:0014550	ZP:0014550
1	2	ZP:0014550	ZP:0014550
1	4	ZP:0014550	ZP:0014550
1	5	ZP:0014550	ZP:0014550
1	6	ZP:0014550	ZP:0014550
1	9	ZP:0014550	ZP:0014550
1	10	ZP:0014550	ZP:0014550
1	11	ZP:0014550	ZP:0014550
1	12	ZP:0014550	ZP:0014550
1	13	ZP:0014550	ZP:0014550
1	14	ZP:0014550	ZP:0014550
1	16	ZP:0014550	ZP:0014550
1	17	ZP:0014550	ZP:0014550
1	18	ZP:0014550	ZP:0014550
1	19	ZP:0014550	ZP:0014550
1	20	ZP:0014550	ZP:0014550
1	21	ZP:0014550	ZP:0014550
1	23	ZP:0014550	ZP:0014550
1	24	ZP:0014550	ZP:0014550
1	2	ZP:0015121	ZP:0015121
1	5	ZP:0015121	ZP:0015121
1	11	ZP:0015121	ZP:0015121
1	13	ZP:0015121	ZP:0015121
1	18	ZP:0015121	ZP:0015121
1	22	ZP:0015121	ZP:0015121
1	1	ZP:0127709	ZP:0127709
1	2	ZP:0127709	ZP:0127709
1	4	ZP:0127709	ZP:0127709
1	5	ZP:0127709	ZP:0127709
1	6	ZP:0127709	ZP:0127709
1	9	ZP:0127709	ZP:0127709
1	10	ZP:0127709	ZP:0127709
1	12	ZP:0127709	ZP:0127709
1	13	ZP:0127709	ZP:0127709
1	14	ZP:0127709	ZP:0127709
1	15	ZP:0127709	ZP:0127709
1	16	ZP:0127709	ZP:0127709
1	17	ZP:0127709	ZP:0127709
1	18	ZP:0127709	ZP:0127709
1	19	ZP:0127709	ZP:0127709
1	20	ZP:0127709	ZP:0127709
1	22	ZP:0127709	ZP:0127709
1	23	ZP:0127709	ZP:0127709
1	24	ZP:0127709	ZP:0127709
1	4	ZP:0127724	ZP:0127724
1	6	ZP:0127724	ZP:0127724
1	13	ZP:0127724	ZP:0127724
1	15	ZP:0127724	ZP:0127724
1	18	ZP:0127724	ZP:0127724
1	22	ZP:0127724	ZP:0127724
1	24	ZP:0127724	ZP:0127724
17	3	normal	normal
17	25	normal	normal
17	4	ZP:0000043	ZP:0000943
17	5	ZP:0000043	ZP:0000943
17	6	ZP:0000043	ZP:0000943
17	9	ZP:0000043	ZP:0000943
17	14	ZP:0000043	ZP:0000943
17	16	ZP:0000043	ZP:0000943
17	18	ZP:0000043	ZP:0000943
17	22	ZP:0000043	ZP:0000943
17	5	ZP:0000054	ZP:0001609
17	6	ZP:0000054	ZP:0001609
17	9	ZP:0000054	ZP:0001609
17	16	ZP:0000054	ZP:0001609
17	18	ZP:0000054	ZP:0001609
17	22	ZP:0000054	ZP:0001609
17	24	ZP:0000054	ZP:0001609
17	6	ZP:0000100	ZP:0000100
17	16	ZP:0000100	ZP:0000100
17	22	ZP:0000100	ZP:0000100
17	24	ZP:0000100	ZP:0000100
17	26	ZP:0000100	ZP:0000100
17	22	ZP:0000102	ZP:0002676
17	18	ZP:0000122	ZP:0000624
17	22	ZP:0000398	ZP:0000398
17	2	ZP:0000473	ZP:0012799
17	4	ZP:0000473	ZP:0012799
17	6	ZP:0000473	ZP:0012799
17	9	ZP:0000473	ZP:0012799
17	10	ZP:0000473	ZP:0012799
17	13	ZP:0000473	ZP:0012799
17	14	ZP:0000473	ZP:0012799
17	18	ZP:0000473	ZP:0012799
17	19	ZP:0000473	ZP:0012799
17	23	ZP:0000473	ZP:0012799
17	6	ZP:0000627	ZP:0000624
17	13	ZP:0000627	ZP:0000624
17	4	ZP:0000916	ZP:0007203
17	5	ZP:0000916	ZP:0007203
17	6	ZP:0000916	ZP:0007203
17	9	ZP:0000916	ZP:0007203
17	14	ZP:0000916	ZP:0007203
17	15	ZP:0000916	ZP:0007203
17	19	ZP:0000916	ZP:0007203
17	22	ZP:0000916	ZP:0007203
17	23	ZP:0000916	ZP:0007203
17	1	ZP:0001192	ZP:0000107
17	2	ZP:0001192	ZP:0000107
17	4	ZP:0001192	ZP:0000107
17	5	ZP:0001192	ZP:0000107
17	6	ZP:0001192	ZP:0000107
17	9	ZP:0001192	ZP:0000107
17	14	ZP:0001192	ZP:0000107
17	15	ZP:0001192	ZP:0000107
17	16	ZP:0001192	ZP:0000107
17	18	ZP:0001192	ZP:0000107
17	19	ZP:0001192	ZP:0000107
17	20	ZP:0001192	ZP:0000107
17	23	ZP:0001192	ZP:0000107
17	10	ZP:0001211	ZP:0127709
17	12	ZP:0001211	ZP:0127709
17	15	ZP:0001211	ZP:0127709
17	17	ZP:0001211	ZP:0127709
17	19	ZP:0001211	ZP:0127709
17	20	ZP:0001211	ZP:0127709
17	23	ZP:0001211	ZP:0127709
17	24	ZP:0001211	ZP:0127709
17	1	ZP:0001601	ZP:0001601
17	13	ZP:0001601	ZP:0001601
17	18	ZP:0001601	ZP:0001601
17	22	ZP:0001601	ZP:0001601
17	9	ZP:0002060	ZP:0002676
17	15	ZP:0002060	ZP:0002676
17	22	ZP:0002311	ZP:0001609
17	26	ZP:0002311	ZP:0001609
17	4	ZP:0002676	ZP:0002676
17	16	ZP:0002676	ZP:0002676
17	1	ZP:0002944	ZP:0127709
17	2	ZP:0002944	ZP:0127709
17	4	ZP:0002944	ZP:0127709
17	6	ZP:0002944	ZP:0127709
17	9	ZP:0002944	ZP:0127709
17	13	ZP:0002944	ZP:0127709
17	14	ZP:0002944	ZP:0127709
17	16	ZP:0002944	ZP:0127709
17	18	ZP:0002944	ZP:0127709
17	22	ZP:0002944	ZP:0127709
17	6	ZP:0003437	ZP:0003437
17	18	ZP:0003437	ZP:0003437
17	19	ZP:0003437	ZP:0003437
17	16	ZP:0004969	ZP:0001129
17	4	ZP:0005012	ZP:0127724
17	6	ZP:0005012	ZP:0127724
17	13	ZP:0005012	ZP:0127724
17	15	ZP:0005012	ZP:0127724
17	18	ZP:0005012	ZP:0127724
17	22	ZP:0005012	ZP:0127724
17	24	ZP:0005012	ZP:0127724
17	11	ZP:0005125	ZP:0127709
17	16	ZP:0007203	ZP:0007203
17	18	ZP:0007203	ZP:0007203
17	16	ZP:0007632	ZP:0000624
17	22	ZP:0007632	ZP:0000624
17	15	ZP:0009010	ZP:0000624
17	24	ZP:0009010	ZP:0000624
17	10	ZP:0010319	ZP:0001129
17	22	ZP:0012799	ZP:0012799
17	1	ZP:0014550	ZP:0014550
17	2	ZP:0014550	ZP:0014550
17	4	ZP:0014550	ZP:0014550
17	5	ZP:0014550	ZP:0014550
17	6	ZP:0014550	ZP:0014550
17	9	ZP:0014550	ZP:0014550
17	10	ZP:0014550	ZP:0014550
17	13	ZP:0014550	ZP:0014550
17	14	ZP:0014550	ZP:0014550
17	15	ZP:0014550	ZP:0014550
17	16	ZP:0014550	ZP:0014550
17	17	ZP:0014550	ZP:0014550
17	18	ZP:0014550	ZP:0014550
17	19	ZP:0014550	ZP:0014550
17	20	ZP:0014550	ZP:0014550
17	21	ZP:0014550	ZP:0014550
17	22	ZP:0014550	ZP:0014550
17	23	ZP:0014550	ZP:0014550
17	24	ZP:0014550	ZP:0014550
17	10	ZP:0015011	ZP:0007203
17	17	ZP:0015011	ZP:0007203
17	20	ZP:0015011	ZP:0007203
17	21	ZP:0015011	ZP:0007203
17	24	ZP:0015011	ZP:0007203
17	18	ZP:0015121	ZP:0015121
17	22	ZP:0015121	ZP:0015121
17	6	ZP:0016092	ZP:0002676
17	2	ZP:0019090	ZP:0015121
17	6	ZP:0019090	ZP:0015121
17	5	ZP:0127709	ZP:0127709
7	3	normal	normal
7	22	ZP:0000043	ZP:0000943
7	12	ZP:0000100	ZP:0000100
7	13	ZP:0000100	ZP:0000100
7	14	ZP:0000100	ZP:0000100
7	16	ZP:0000100	ZP:0000100
7	18	ZP:0000100	ZP:0000100
7	19	ZP:0000100	ZP:0000100
7	22	ZP:0000100	ZP:0000100
7	23	ZP:0000100	ZP:0000100
7	24	ZP:0000100	ZP:0000100
7	2	ZP:0000122	ZP:0000624
7	13	ZP:0000624	ZP:0000624
7	18	ZP:0000624	ZP:0000624
7	22	ZP:0000624	ZP:0000624
7	6	ZP:0001129	ZP:0001129
7	9	ZP:0001129	ZP:0001129
7	1	ZP:0001192	ZP:0000107
7	2	ZP:0001192	ZP:0000107
7	5	ZP:0001192	ZP:0000107
7	6	ZP:0001192	ZP:0000107
7	9	ZP:0001192	ZP:0000107
7	15	ZP:0001192	ZP:0000107
7	16	ZP:0001192	ZP:0000107
7	19	ZP:0001192	ZP:0000107
7	20	ZP:0001192	ZP:0000107
7	23	ZP:0001192	ZP:0000107
7	2	ZP:0001211	ZP:0127709
7	20	ZP:0001211	ZP:0127709
7	16	ZP:0001601	ZP:0001601
7	18	ZP:0001601	ZP:0001601
7	19	ZP:0001601	ZP:0001601
7	22	ZP:0001601	ZP:0001601
7	23	ZP:0001601	ZP:0001601
7	26	ZP:0001601	ZP:0001601
7	4	ZP:0001609	ZP:0001609
7	13	ZP:0001609	ZP:0001609
7	16	ZP:0001609	ZP:0001609
7	10	ZP:0001610	ZP:0001610
7	16	ZP:0002008	ZP:0002008
7	1	ZP:0002060	ZP:0002676
7	2	ZP:0002060	ZP:0002676
7	4	ZP:0002060	ZP:0002676
7	5	ZP:0002060	ZP:0002676
7	6	ZP:0002060	ZP:0002676
7	9	ZP:0002060	ZP:0002676
7	12	ZP:0002060	ZP:0002676
7	13	ZP:0002060	ZP:0002676
7	14	ZP:0002060	ZP:0002676
7	16	ZP:0002060	ZP:0002676
7	17	ZP:0002060	ZP:0002676
7	18	ZP:0002060	ZP:0002676
7	19	ZP:0002060	ZP:0002676
7	20	ZP:0002060	ZP:0002676
7	21	ZP:0002060	ZP:0002676
7	22	ZP:0002060	ZP:0002676
7	23	ZP:0002060	ZP:0002676
7	24	ZP:0002060	ZP:0002676
7	25	ZP:0002060	ZP:0002676
7	26	ZP:0002060	ZP:0002676
7	11	ZP:0002676	ZP:0002676
7	15	ZP:0002676	ZP:0002676
7	1	ZP:0002944	ZP:0127709
7	4	ZP:0002944	ZP:0127709
7	12	ZP:0002944	ZP:0127709
7	13	ZP:0002944	ZP:0127709
7	14	ZP:0002944	ZP:0127709
7	16	ZP:0002944	ZP:0127709
7	18	ZP:0002944	ZP:0127709
7	19	ZP:0002944	ZP:0127709
7	22	ZP:0002944	ZP:0127709
7	13	ZP:0003437	ZP:0003437
7	4	ZP:0004969	ZP:0001129
7	13	ZP:0004969	ZP:0001129
7	15	ZP:0004969	ZP:0001129
7	18	ZP:0004969	ZP:0001129
7	19	ZP:0004969	ZP:0001129
7	24	ZP:0004969	ZP:0001129
7	10	ZP:0005125	ZP:0127709
7	23	ZP:0005125	ZP:0127709
7	24	ZP:0005125	ZP:0127709
7	5	ZP:0006124	ZP:0002676
7	6	ZP:0006124	ZP:0002676
7	9	ZP:0007203	ZP:0007203
7	4	ZP:0014550	ZP:0014550
7	6	ZP:0014550	ZP:0014550
7	9	ZP:0014550	ZP:0014550
7	13	ZP:0014550	ZP:0014550
7	14	ZP:0014550	ZP:0014550
7	16	ZP:0014550	ZP:0014550
7	17	ZP:0014550	ZP:0014550
7	18	ZP:0014550	ZP:0014550
7	19	ZP:0014550	ZP:0014550
7	20	ZP:0014550	ZP:0014550
7	21	ZP:0014550	ZP:0014550
7	24	ZP:0014550	ZP:0014550
7	6	ZP:0015121	ZP:0015121
7	5	ZP:0127709	ZP:0127709
7	6	ZP:0127709	ZP:0127709
7	9	ZP:0127709	ZP:0127709
7	15	ZP:0127709	ZP:0127709
7	6	ZP:0127724	ZP:0127724
7	10	ZP:0127724	ZP:0127724
7	13	ZP:0127724	ZP:0127724
7	15	ZP:0127724	ZP:0127724
7	18	ZP:0127724	ZP:0127724
7	22	ZP:0127724	ZP:0127724
7	24	ZP:0127724	ZP:0127724
9	3	normal	normal
9	25	normal	normal
9	14	ZP:0000043	ZP:0000943
9	16	ZP:0000043	ZP:0000943
9	22	ZP:0000043	ZP:0000943
9	1	ZP:0000054	ZP:0001609
9	2	ZP:0000054	ZP:0001609
9	5	ZP:0000054	ZP:0001609
9	6	ZP:0000054	ZP:0001609
9	9	ZP:0000054	ZP:0001609
9	11	ZP:0000054	ZP:0001609
9	14	ZP:0000054	ZP:0001609
9	19	ZP:0000054	ZP:0001609
9	22	ZP:0000054	ZP:0001609
9	23	ZP:0000054	ZP:0001609
9	6	ZP:0000100	ZP:0000100
9	14	ZP:0000100	ZP:0000100
9	22	ZP:0000100	ZP:0000100
9	26	ZP:0000100	ZP:0000100
9	1	ZP:0000102	ZP:0002676
9	13	ZP:0000122	ZP:0000624
9	9	ZP:0000473	ZP:0012799
9	10	ZP:0000473	ZP:0012799
9	11	ZP:0000473	ZP:0012799
9	14	ZP:0000473	ZP:0012799
9	16	ZP:0000473	ZP:0012799
9	19	ZP:0000473	ZP:0012799
9	23	ZP:0000473	ZP:0012799
9	14	ZP:0001129	ZP:0001129
9	9	ZP:0001130	ZP:0001129
9	19	ZP:0001130	ZP:0001129
9	23	ZP:0001130	ZP:0001129
9	10	ZP:0001130	ZP:0001129
9	1	ZP:0001192	ZP:0000107
9	2	ZP:0001192	ZP:0000107
9	4	ZP:0001192	ZP:0000107
9	5	ZP:0001192	ZP:0000107
9	6	ZP:0001192	ZP:0000107
9	9	ZP:0001192	ZP:0000107
9	14	ZP:0001192	ZP:0000107
9	15	ZP:0001192	ZP:0000107
9	16	ZP:0001192	ZP:0000107
9	18	ZP:0001192	ZP:0000107
9	19	ZP:0001192	ZP:0000107
9	20	ZP:0001192	ZP:0000107
9	23	ZP:0001192	ZP:0000107
9	24	ZP:0001192	ZP:0000107
9	1	ZP:0001211	ZP:0127709
9	2	ZP:0001211	ZP:0127709
9	4	ZP:0001211	ZP:0127709
9	5	ZP:0001211	ZP:0127709
9	6	ZP:0001211	ZP:0127709
9	9	ZP:0001211	ZP:0127709
9	13	ZP:0001211	ZP:0127709
9	15	ZP:0001211	ZP:0127709
9	16	ZP:0001211	ZP:0127709
9	18	ZP:0001211	ZP:0127709
9	19	ZP:0001211	ZP:0127709
9	20	ZP:0001211	ZP:0127709
9	22	ZP:0001211	ZP:0127709
9	23	ZP:0001211	ZP:0127709
9	24	ZP:0001211	ZP:0127709
9	26	ZP:0001609	ZP:0001609
9	2	ZP:0002676	ZP:0002676
9	4	ZP:0002676	ZP:0002676
9	5	ZP:0002676	ZP:0002676
9	9	ZP:0002676	ZP:0002676
9	11	ZP:0002676	ZP:0002676
9	14	ZP:0002676	ZP:0002676
9	15	ZP:0002676	ZP:0002676
9	16	ZP:0002676	ZP:0002676
9	17	ZP:0002676	ZP:0002676
9	18	ZP:0002676	ZP:0002676
9	19	ZP:0002676	ZP:0002676
9	23	ZP:0002676	ZP:0002676
9	2	ZP:0003437	ZP:0003437
